Nets=['Deep_sig.21', 'Deep_sig.22', 'Deep_sig.23', 'Deep_sig.24']	GPUid=5
N=20	gauge=True	increment=0.01	amount=201	epochs=1	init_p=1000.0	rate=1.0
V=0.730	U=0.000	H=-1.05579817	P=0.00000549	D=0.00119470	CDW=0.16308542	BDW=0.01898563	Next_init_amount=1
V=0.720	U=0.000	H=-1.05820572	P=0.00000521	D=0.00116184	CDW=0.16265808	BDW=0.01880598	Next_init_amount=1
V=0.710	U=0.000	H=-1.06103146	P=0.00000540	D=0.00119905	CDW=0.16188328	BDW=0.01878715	Next_init_amount=1
V=0.700	U=0.000	H=-1.06434751	P=0.00000686	D=0.00123580	CDW=0.16019638	BDW=0.01854229	Next_init_amount=1
V=0.690	U=0.000	H=-1.06702542	P=0.00000566	D=0.00125167	CDW=0.15904728	BDW=0.01855007	Next_init_amount=1
V=0.680	U=0.000	H=-1.06985021	P=0.00000521	D=0.00125313	CDW=0.15862466	BDW=0.01855183	Next_init_amount=1
V=0.670	U=0.000	H=-1.07267344	P=0.00000527	D=0.00124609	CDW=0.15835676	BDW=0.01855597	Next_init_amount=1
V=0.660	U=0.000	H=-1.07559621	P=0.00000554	D=0.00122902	CDW=0.15789194	BDW=0.01859269	Next_init_amount=1
V=0.650	U=0.000	H=-1.07858300	P=0.00000637	D=0.00126309	CDW=0.15768711	BDW=0.01863754	Next_init_amount=1
V=0.640	U=0.000	H=-1.08142674	P=0.00000544	D=0.00125460	CDW=0.15705855	BDW=0.01867378	Next_init_amount=1
V=0.630	U=0.000	H=-1.08458805	P=0.00000598	D=0.00127656	CDW=0.15636346	BDW=0.01880679	Next_init_amount=1
V=0.620	U=0.000	H=-1.08679736	P=0.00000540	D=0.00126674	CDW=0.15559177	BDW=0.01900485	Next_init_amount=1
V=0.610	U=0.000	H=-1.08991027	P=0.00000536	D=0.00125383	CDW=0.15461797	BDW=0.01917985	Next_init_amount=1
V=0.600	U=0.000	H=-1.09278822	P=0.00000557	D=0.00127343	CDW=0.15213440	BDW=0.01927415	Next_init_amount=1
V=0.590	U=0.000	H=-1.09555674	P=0.00000513	D=0.00127202	CDW=0.15083338	BDW=0.01929224	Next_init_amount=1
V=0.580	U=0.000	H=-1.09844148	P=0.00000572	D=0.00126915	CDW=0.14816894	BDW=0.01937416	Next_init_amount=1
V=0.570	U=0.000	H=-1.10208285	P=0.00000548	D=0.00133992	CDW=0.14030658	BDW=0.01955879	Next_init_amount=1
V=0.560	U=0.000	H=-1.10541940	P=0.00000504	D=0.00159393	CDW=0.12982568	BDW=0.02003244	Next_init_amount=1
V=0.550	U=0.000	H=-1.10848391	P=0.00000569	D=0.00166445	CDW=0.11952810	BDW=0.02115399	Next_init_amount=1
V=0.540	U=0.000	H=-1.11174726	P=0.00000542	D=0.00174484	CDW=0.11740489	BDW=0.02211443	Next_init_amount=1
V=0.530	U=0.000	H=-1.11469936	P=0.00000520	D=0.00193830	CDW=0.11481928	BDW=0.02309263	Next_init_amount=1
V=0.520	U=0.000	H=-1.11870420	P=0.00003382	D=0.00217787	CDW=0.11531094	BDW=0.02309096	Next_init_amount=1
V=0.510	U=0.000	H=-1.12020504	P=0.00000516	D=0.00191169	CDW=0.11111536	BDW=0.02139157	Next_init_amount=1
V=0.500	U=0.000	H=-1.12369442	P=0.00000589	D=0.00193891	CDW=0.10875202	BDW=0.01993066	Next_init_amount=1
V=0.490	U=0.000	H=-1.12657273	P=0.00000626	D=0.00185940	CDW=0.10393123	BDW=0.01806709	Next_init_amount=1
V=0.480	U=0.000	H=-1.12912416	P=0.00000520	D=0.00180258	CDW=0.10164660	BDW=0.01744950	Next_init_amount=1
V=0.470	U=0.000	H=-1.13221705	P=0.00000500	D=0.00179113	CDW=0.10019977	BDW=0.01708105	Next_init_amount=1
V=0.460	U=0.000	H=-1.13540888	P=0.00000513	D=0.00173285	CDW=0.10309470	BDW=0.01567215	Next_init_amount=1
V=0.450	U=0.000	H=-1.13886189	P=0.00000508	D=0.00165701	CDW=0.10120264	BDW=0.01528668	Next_init_amount=1
V=0.440	U=0.000	H=-1.14277494	P=0.00003205	D=0.00160129	CDW=0.10069337	BDW=0.01528525	Next_init_amount=1
V=0.430	U=0.000	H=-1.14432538	P=0.00001270	D=0.00163907	CDW=0.10117509	BDW=0.01528248	Next_init_amount=1
V=0.420	U=0.000	H=-1.14756417	P=0.00000642	D=0.00163440	CDW=0.10131206	BDW=0.01534477	Next_init_amount=1
V=0.410	U=0.000	H=-1.15020537	P=0.00000579	D=0.00163427	CDW=0.10008098	BDW=0.01527780	Next_init_amount=1
V=0.400	U=0.000	H=-1.15232956	P=0.00000865	D=0.00168190	CDW=0.10022412	BDW=0.01532504	Next_init_amount=1
V=0.390	U=0.000	H=-1.15630412	P=0.00000547	D=0.00160549	CDW=0.09936912	BDW=0.01531070	Next_init_amount=1
V=0.380	U=0.000	H=-1.15883911	P=0.00000580	D=0.00161047	CDW=0.09909629	BDW=0.01505780	Next_init_amount=1
V=0.370	U=0.000	H=-1.16210151	P=0.00000557	D=0.00158451	CDW=0.09893102	BDW=0.01501736	Next_init_amount=1
V=0.360	U=0.000	H=-1.16492319	P=0.00000557	D=0.00161323	CDW=0.09819446	BDW=0.01494417	Next_init_amount=1
V=0.350	U=0.000	H=-1.16798353	P=0.00000630	D=0.00159536	CDW=0.09827204	BDW=0.01492196	Next_init_amount=1
V=0.340	U=0.000	H=-1.17071581	P=0.00000582	D=0.00163944	CDW=0.09775934	BDW=0.01486450	Next_init_amount=1
V=0.330	U=0.000	H=-1.17370152	P=0.00000491	D=0.00161395	CDW=0.09783690	BDW=0.01489022	Next_init_amount=1
V=0.320	U=0.000	H=-1.17721784	P=0.00003569	D=0.00157024	CDW=0.09730201	BDW=0.01488489	Next_init_amount=1
V=0.310	U=0.000	H=-1.17949390	P=0.00000546	D=0.00160757	CDW=0.09708837	BDW=0.01482114	Next_init_amount=1
V=0.300	U=0.000	H=-1.18248093	P=0.00000599	D=0.00158203	CDW=0.09679117	BDW=0.01486221	Next_init_amount=1
V=0.290	U=0.000	H=-1.18579388	P=0.00000580	D=0.00159979	CDW=0.09730095	BDW=0.01444960	Next_init_amount=1
V=0.280	U=0.000	H=-1.18834925	P=0.00000540	D=0.00165393	CDW=0.09537153	BDW=0.01444143	Next_init_amount=1
