Nets=['Deep_sig.21', 'Deep_sig.23', 'Deep_sig.24']	GPUid=4
N=20	gauge=True	increment=0.01	amount=151	epochs=1	init_p=1000.0	rate=1.0
V=1.610	U=-100.000	H=-0.30970800	P=0.00000317	D=0.00188401	CDW=-0.09321325	BDW=0.02082899	Next_init_amount=1
V=1.620	U=-100.000	H=-0.30752119	P=0.00000281	D=0.00186297	CDW=-0.09249642	BDW=0.02094504	Next_init_amount=1
V=1.630	U=-100.000	H=-0.30565968	P=0.00000280	D=0.00189300	CDW=-0.09204064	BDW=0.02086581	Next_init_amount=1
V=1.640	U=-100.000	H=-0.30379036	P=0.00000262	D=0.00190465	CDW=-0.09229514	BDW=0.02088961	Next_init_amount=1
V=1.650	U=-100.000	H=-0.30178997	P=0.00000303	D=0.00186194	CDW=-0.09224235	BDW=0.02112560	Next_init_amount=1
V=1.660	U=-100.000	H=-0.29979283	P=0.00000249	D=0.00185785	CDW=-0.09187544	BDW=0.02092269	Next_init_amount=1
V=1.670	U=-100.000	H=-0.29798827	P=0.00000269	D=0.00188287	CDW=-0.09141520	BDW=0.02092622	Next_init_amount=1
V=1.680	U=-100.000	H=-0.29607943	P=0.00000267	D=0.00187187	CDW=-0.09130619	BDW=0.02093557	Next_init_amount=1
V=1.690	U=-100.000	H=-0.29424641	P=0.00000267	D=0.00187847	CDW=-0.08970354	BDW=0.02090769	Next_init_amount=1
V=1.700	U=-100.000	H=-0.29225707	P=0.00000316	D=0.00181318	CDW=-0.08865699	BDW=0.02120171	Next_init_amount=1
V=1.710	U=-100.000	H=-0.29051113	P=0.00000261	D=0.00185398	CDW=-0.08833849	BDW=0.02125125	Next_init_amount=1
V=1.720	U=-100.000	H=-0.28858674	P=0.00000267	D=0.00183727	CDW=-0.08802150	BDW=0.02155921	Next_init_amount=1
V=1.730	U=-100.000	H=-0.28642309	P=0.00000269	D=0.00177681	CDW=-0.08758756	BDW=0.02179959	Next_init_amount=1
V=1.740	U=-100.000	H=-0.28487530	P=0.00000268	D=0.00183189	CDW=-0.08734147	BDW=0.02184601	Next_init_amount=1
V=1.750	U=-100.000	H=-0.28280243	P=0.00000278	D=0.00179560	CDW=-0.08663102	BDW=0.02207662	Next_init_amount=1
V=1.760	U=-100.000	H=-0.28132555	P=0.00000327	D=0.00186265	CDW=-0.08645982	BDW=0.02224530	Next_init_amount=1
V=1.770	U=-100.000	H=-0.27924207	P=0.00000250	D=0.00181674	CDW=-0.08615237	BDW=0.02249931	Next_init_amount=1
V=1.780	U=-100.000	H=-0.27773067	P=0.00000270	D=0.00188291	CDW=-0.08592286	BDW=0.02248849	Next_init_amount=1
V=1.790	U=-100.000	H=-0.27572796	P=0.00000274	D=0.00184427	CDW=-0.08591437	BDW=0.02280034	Next_init_amount=1
V=1.800	U=-100.000	H=-0.27412599	P=0.00000256	D=0.00189908	CDW=-0.08578765	BDW=0.02297187	Next_init_amount=1
V=1.810	U=-100.000	H=-0.27251926	P=0.00000273	D=0.00191866	CDW=-0.08572436	BDW=0.02306147	Next_init_amount=1
V=1.820	U=-100.000	H=-0.27055115	P=0.00000276	D=0.00187405	CDW=-0.08554231	BDW=0.02315171	Next_init_amount=1
